Repetition ID,Dataset ID,ML Model,Training R2,Validation R2,Training RMSE,Validation RMSE,Validation non-reject accuracy ML
1,M3,Random Forest,0.984,0.9031195153922641,0.03994996871087636,0.1041484538793082,0.598
1,M3,Ada Boost,0.999,0.9007656063251572,0.007770456872024965,0.10540611000256651,0.603
1,M3,Support Vector Machine,0.899,0.8941395140359314,0.1016857905510893,0.10886834414410351,0.581
1,M5,Random Forest,0.977,0.8493958505287345,0.04194043395102154,0.10671790843882448,0.579
1,M5,Ada Boost,0.998,0.8432431112044844,0.011899579824514813,0.10887599918974289,0.588
1,M5,Support Vector Machine,0.852,0.8442258814365546,0.10639548862616309,0.10853416947513196,0.576
1,M0,Random Forest,0.988,0.9317967792700267,0.03293933818400121,0.08460045894681534,0.697
1,M0,Ada Boost,0.995,0.9313296189094861,0.022481103175778543,0.08488970140832426,0.694
1,M0,Support Vector Machine,0.934,0.9281255299183017,0.07805126520435143,0.08684755674529096,0.698
2,M3,Random Forest,0.985,0.8943465623568296,0.04036087214122113,0.10395533916180916,0.564
2,M3,Ada Boost,0.999,0.8924483792086408,0.008735559512704381,0.10488501950853896,0.573
2,M3,Support Vector Machine,0.901,0.8860594241648662,0.10353743284435828,0.10795535466565115,0.563
2,M5,Random Forest,0.975,0.8468154692889039,0.04296510211788167,0.11805053769122979,0.574
2,M5,Ada Boost,0.998,0.8420233441650582,0.011326958991715297,0.11988282609579283,0.566
2,M5,Support Vector Machine,0.843,0.8410661542068736,0.10737783756436893,0.12024546619937346,0.573
2,M0,Random Forest,0.989,0.8863171255387104,0.03337663853655727,0.10460450552272979,0.69
2,M0,Ada Boost,0.994,0.8893094514344813,0.024740654801358834,0.10321864121395449,0.701
2,M0,Support Vector Machine,0.936,0.8902656941662467,0.07955501241279521,0.10277182722926548,0.674
3,M3,Random Forest,0.983,0.8793596967812964,0.041352146256270664,0.11227589684871328,0.575
3,M3,Ada Boost,1.0,0.8784317888863502,0.006672330927044911,0.11270685618004919,0.567
3,M3,Support Vector Machine,0.895,0.8738691510868937,0.10290772565750349,0.11480240393175355,0.566
3,M5,Random Forest,0.977,0.826498370395792,0.04256759330758553,0.11356231688968554,0.575
3,M5,Ada Boost,0.997,0.8199844827845398,0.014345731072343437,0.11567444822805446,0.583
3,M5,Support Vector Machine,0.858,0.8234844733581936,0.10686440005914037,0.11454441582049049,0.581
3,M0,Random Forest,0.987,0.9060950978527212,0.03455430508634199,0.09669539968950634,0.733
3,M0,Ada Boost,0.983,0.9008442055660387,0.0397994974842648,0.0993620927279657,0.73
3,M0,Support Vector Machine,0.926,0.8950706432770098,0.08218880702382776,0.10221395333786051,0.729
4,M3,Random Forest,0.984,0.8958536147261391,0.041267420563926696,0.10652657573093617,0.585
4,M3,Ada Boost,1.0,0.8916956312221775,0.007053367989832943,0.10863226987544082,0.579
4,M3,Support Vector Machine,0.899,0.8888114350900806,0.10397114984456024,0.11006923014743296,0.585
4,M5,Random Forest,0.977,0.8415602908106307,0.042320207938997656,0.11157921557541654,0.614
4,M5,Ada Boost,0.998,0.8318711619307179,0.013371611720357423,0.1149403172226958,0.603
4,M5,Support Vector Machine,0.852,0.8412760980992341,0.10862780491200216,0.11167924035198197,0.584
4,M0,Random Forest,0.987,0.9104087212575669,0.0354682957019364,0.09373928605303856,0.708
4,M0,Ada Boost,0.989,0.9106470811884986,0.031580056998048625,0.09361450509579691,0.692
4,M0,Support Vector Machine,0.933,0.9004842779350308,0.07898734075787081,0.09879492208397359,0.69
5,M3,Random Forest,0.985,0.8830435550543232,0.04031128874149275,0.11235361821210019,0.583
5,M3,Ada Boost,1.0,0.8825857550464564,0.007221495689952325,0.11257329508582145,0.579
5,M3,Support Vector Machine,0.899,0.8803577917431877,0.10502380682492898,0.1136363285179389,0.571
5,M5,Random Forest,0.977,0.8525754107839727,0.042544094772365294,0.10832095816182574,0.599
5,M5,Ada Boost,0.999,0.8447877828442143,0.010871982339941506,0.1111451410003689,0.589
5,M5,Support Vector Machine,0.856,0.84346757589956,0.10761040841851684,0.11161683029537044,0.593
5,M0,Random Forest,0.986,0.9258458680682198,0.03690528417449187,0.08739120664508696,0.71
5,M0,Ada Boost,0.991,0.9213925197001605,0.0300616034169836,0.08997710091630656,0.695
5,M0,Support Vector Machine,0.928,0.9219505868114166,0.08349251463454672,0.08965713963811388,0.702
